"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"12272" NA NA NA NA 1 NA NA NA NA NA NA NA
"12288" NA NA NA NA NA NA NA NA NA 0 NA NA
"12289" NA NA NA NA NA NA NA 0 NA NA NA NA
"12291" NA NA NA 1 NA NA NA NA NA NA NA NA
"12292" NA NA NA NA NA NA NA NA 0 NA NA NA
"12294" NA NA NA NA 0 0 NA 0 NA NA NA NA
"12296" NA NA NA NA 0 0 NA 0 NA NA NA NA
"12335" NA NA NA 0 NA 0 NA 0 0 NA NA NA
"12336" NA NA NA 0 1 1 0 1 0 0 NA NA
"12337" NA NA NA NA 0 0 NA 0 0 NA NA NA
"12338" NA NA NA NA 0 0 NA 0 NA NA NA NA
"12356" NA NA NA 1 NA NA NA NA NA NA NA NA
"12364" NA NA NA 1 NA NA NA NA NA NA NA NA
"12374" 0 NA NA NA NA NA NA NA NA NA NA NA
"12378" NA NA 0 NA NA 0 NA 0 NA NA NA NA
"12379" NA NA NA NA NA 0 NA 1 NA NA NA NA
"12380" NA NA NA NA NA NA 0 0 0 NA NA NA
"12381" NA NA NA NA 0 0 0 0 0 NA NA NA
"12400" NA NA NA NA 1 NA NA NA NA NA NA NA
"12416" 0 NA NA NA NA NA NA NA NA NA NA NA
"12420" NA NA NA 0 NA NA NA 0 NA NA NA NA
"12421" NA NA NA NA 1 1 NA 0 0 NA NA NA
"12422" NA NA NA NA NA NA NA 0 0 NA NA NA
"12423" NA NA NA NA NA 1 NA 0 0 0 NA NA
"12438" NA NA 0 NA NA NA NA NA NA NA NA NA
"12440" NA NA NA 0 NA NA NA NA NA NA NA NA
"12448" NA NA NA 1 NA NA NA NA NA NA NA NA
"12461" NA NA NA NA NA NA NA 0 NA NA NA NA
"12462" NA NA NA NA NA 1 NA 0 NA 1 NA NA
"12463" NA NA NA NA NA NA NA 0 0 NA NA NA
"12464" NA NA NA NA NA NA NA 0 NA NA NA NA
"12465" NA NA NA 0 0 0 0 0 NA NA 0 NA
"12466" NA NA NA NA 0 0 NA NA NA NA NA NA
"12481" NA NA 0 NA NA NA NA NA NA NA NA NA
"12485" NA NA 0 NA NA NA NA NA NA NA NA NA
"12491" NA NA NA 0 NA NA NA NA NA NA NA NA
"12505" NA NA NA NA NA NA NA 0 NA NA NA NA
"12506" NA NA NA NA NA 0 NA 0 NA NA NA NA
"12507" NA NA NA NA NA NA 0 0 0 0 NA NA
"12508" NA NA NA NA 1 0 NA 0 NA NA NA NA
"12516" NA NA NA NA NA 0 NA NA NA NA NA NA
"12522" NA NA NA 0 NA NA NA NA NA NA NA NA
"12529" NA 0 NA NA NA NA NA NA NA NA NA NA
"12530" NA NA 0 NA NA NA NA NA NA NA NA NA
